new_code,Year,wheat,tavg,pc
130430,1999,5.709005265,9.800282045,66.60643581
130430,2000,5.533440681,8.632796832,107.1064349
130430,2001,5.376021968,8.416907749,166.0564336
130430,2002,5.2200311,9.920514166,139.9564342
130430,2003,5.346374787,8.016012545,204.7564327
130430,2004,5.404904755,9.331442034,313.2064303
130430,2005,5.461037619,8.266387609,159.3064337
130430,2006,5.468971697,9.092788018,103.056435
130430,2007,5.508942738,10.15624893,140.8564342
130430,2008,5.534925507,9.009971985,147.156434
130430,2009,5.534995015,9.681650879,242.1064319
130430,2010,5.504943744,7.557500853,149.856434
130430,2011,6.178844816,8.795323007,72.45643568
130430,2013,7.04972633,8.254239631,101.256435
130430,2014,7.136569873,9.930636201,147.156434
130431,1982,0.934312018,8.288344427,68.40643577
130431,1985,1.269074336,7.618993002,135.4564343
130431,1987,2.916765705,8.026537805,90.00643529
130431,1989,2.848287113,9.071710189,83.25643544
130431,1990,4.299806335,8.181906042,280.356431
130431,1991,3.950122399,8.65552398,163.3564337
130431,1992,4.045389719,8.726197936,85.0564354
130431,1993,4.201583473,8.151031746,56.25643604
130431,1994,4.275081503,8.517300307,184.5064332
130431,1995,4.875498803,8.78603772,131.4064344
130431,1996,4.590010883,8.682582087,124.2064345
130431,1997,5.338432666,8.970769329,124.2064345
130431,1998,5.340020173,9.095381464,206.1064327
130431,1999,5.340005576,10.12068058,44.55643631
130431,2000,5.280006724,8.970896366,97.65643512
130431,2001,5.279974818,8.624073221,161.1064337
130431,2002,5.220015234,10.14226831,137.2564342
130431,2003,5.192699387,8.177003755,171.4564335
130431,2004,5.27888873,9.576815083,269.1064313
130431,2005,5.332038464,8.551571087,109.8064348
130431,2006,5.337761393,9.424964584,121.5064346
130431,2007,5.512193593,10.35591142,131.8564344
130431,2008,5.592391651,9.130095167,110.7064348
130431,2009,5.705992626,9.928480116,291.6064308
130431,2010,5.670022638,7.785284178,144.9064341
130431,2011,6.500749086,9.049277607,57.60643601
130431,2013,7.155173433,8.453079024,103.056435
130431,2014,7.256617344,10.217858,125.1064345
130432,1982,1.868707623,8.236850358,82.20643546
130432,1983,2.179381443,8.915822453,172.8064334
130432,1985,0.975301205,7.597722841,132.6064343
130432,1990,3.767380269,8.209453618,258.0064315
130432,1991,3.678414097,8.646599782,158.4064338
130432,1992,3.317241379,8.644841259,68.40643577
130432,1993,3.779022989,8.063443847,67.2064358
130432,1994,3.866740591,8.442457757,208.2064326
130432,1995,4.57148557,8.83426374,132.6064343
130432,1996,4.529293844,8.651897401,120.6064346
130432,1997,5.43904336,8.938663274,139.2064342
130432,1998,5.127547122,9.040296659,218.4064324
130432,1999,5.280093618,10.07855553,54.00643609
130432,2000,4.852553747,8.919919638,99.00643509
130432,2001,4.851208054,8.617416795,158.4064338
130432,2002,4.882222222,10.06192407,149.406434
130432,2003,4.829075586,8.146797555,224.4064323
130432,2004,4.925603217,9.419292758,268.8064313
130432,2005,5.091681574,8.416324351,140.4064342
130432,2006,5.212117331,9.325093553,100.806435
130432,2007,5.344128987,10.31323071,177.0064333
130432,2008,5.570279454,9.089047862,123.6064345
130432,2009,5.721277997,9.851304083,299.4064306
130432,2010,5.714955046,7.806742725,130.8064344
130432,2011,6.436305732,8.997853729,72.00643569
130432,2013,6.98342821,8.453639166,96.00643516
130432,2014,7.096523388,10.0848625,143.4064341
130433,1982,2.068322712,8.087424475,84.9664354
130433,1983,3.411383929,8.768372162,176.4064334
130433,1985,1.465108103,7.472664917,130.3264344
130433,1986,2.613099863,7.912812767,115.5664347
130433,1990,4.340219109,8.109123571,249.8464317
130433,1991,4.342442404,8.56025367,154.8064338
130433,1992,3.728085965,8.48708184,63.00643589
130433,1993,3.771289274,7.942837942,60.12643596
130433,1994,4.288584132,8.309514422,198.3664329
130433,1995,4.590918792,8.758109959,130.3264344
130433,1996,4.669614524,8.51012725,105.8464349
130433,1997,5.43492519,8.787633769,135.7264343
130433,1998,5.196310738,8.896055214,220.6864324
130433,1999,5.460010632,9.924600828,60.84643594
130433,2000,5.445544062,8.745892762,106.5664349
130433,2001,5.444913126,8.509481353,152.6464339
130433,2002,5.462031016,9.951267068,144.3664341
130433,2003,5.477808814,8.073720345,210.2464326
130433,2004,5.732967852,9.284874809,336.2464298
130433,2005,5.749925321,8.291996714,165.2464336
130433,2006,5.764482759,9.18860151,99.00643509
130433,2007,5.763412448,10.24594939,167.7664336
130433,2008,5.915986791,9.04124346,147.966434
130433,2009,5.968097504,9.743063876,242.6464319
130433,2010,5.961034599,7.735075311,160.5664337
130433,2011,6.733522019,8.887633769,88.92643531
130433,2013,7.126630964,8.413062383,98.6464351
130433,2014,7.249598208,9.980674603,150.4864339
130434,1982,1.595067934,8.484208056,89.00643531
130434,1983,2.9971875,9.157397167,188.0064331
130434,1985,1.147207496,7.826568527,141.2064341
130434,1986,1.791516446,8.295679297,117.2064347
130434,1988,3.592554779,8.390713962,171.4064335
130434,1990,3.032615477,8.43766129,254.4064316
130434,1991,3.179071517,8.81036781,165.4064336
130434,1992,2.735508418,8.879003419,73.40643566
130434,1993,2.852799813,8.217067759,84.20643542
130434,1994,3.510373637,8.633501877,231.0064321
130434,1995,4.478749553,9.03479732,140.0064342
130434,1996,4.423478404,8.904753018,123.4064345
130434,1997,5.287988947,9.208616231,157.2064338
130434,1998,4.833961921,9.273694743,245.8064318
130434,1999,5.100111782,10.3443399,56.40643604
130434,2000,4.919906705,9.216996663,96.00643516
130434,2001,4.890011301,8.826631251,164.8064336
130434,2002,4.836969569,10.20289384,152.6064339
130434,2003,5.01784266,8.262745776,213.2064325
130434,2004,5.190010349,9.530606332,262.0064314
130434,2005,5.204945824,8.52973289,121.8064346
130434,2006,5.264995129,9.498206605,111.4064348
130434,2007,5.314399241,10.40511265,182.2064332
130434,2008,5.399986001,9.14360936,121.8064346
130434,2009,5.745005245,9.990608466,247.2064318
